,ShardType,NumShards,Ops,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95,Commit,Datapath,Concurrency,Poisson,Iter
55,client,8,480000,33.0,33.0,33.0,33.0,33.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,5154.0,5154.0,5170.0,5170.0,5170.0,13.0,14.0,17.0,21.0,26.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
56,client,8,560000,28.0,28.0,28.0,28.0,28.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,4390.0,4390.0,4412.0,4412.0,4412.0,13.0,14.0,17.0,21.0,28.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
57,client,8,20000,800.0,800.0,800.0,800.0,800.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,121724.0,121724.0,121999.0,122274.0,122274.0,12.0,14.0,15.0,18.0,19.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
58,client,8,60000,266.0,266.0,266.0,266.0,266.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,40566.0,40566.0,40656.0,40746.0,40746.0,11.0,14.0,16.0,18.0,21.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
59,client,8,100000,160.0,160.0,160.0,160.0,160.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,24448.0,24448.0,24506.0,24564.0,24564.0,13.0,14.0,17.0,18.0,22.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
60,client,8,140000,114.0,114.0,114.0,114.0,114.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,17452.0,17452.0,17496.0,17540.0,17540.0,12.0,14.0,15.0,18.0,21.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
61,client,8,180000,88.0,88.0,88.0,88.0,88.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,13504.0,13504.0,13537.0,13570.0,13570.0,12.0,14.0,17.0,18.0,22.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
62,client,8,640000,25.0,25.0,25.0,25.0,25.0,1214017.0,1214017.0,1214020.0,1214020.0,1214020.0,3935.0,3935.0,3935.0,3957.0,3957.0,13.0,14.0,17.0,21.0,28.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
63,client,8,720000,22.0,22.0,22.0,22.0,22.0,1214018.0,1214018.0,1214019.0,1214019.0,1214019.0,3487.0,3487.0,3487.0,3498.0,3498.0,13.0,14.0,17.0,21.0,30.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
64,client,8,800000,20.0,20.0,20.0,20.0,20.0,1214009.0,1214009.0,1214011.0,1214011.0,1214011.0,3181.0,3181.0,3181.0,3188.0,3188.0,13.0,15.0,18.0,22.0,34.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
65,client,8,440000,36.0,36.0,36.0,36.0,36.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,5608.0,5608.0,5620.5,5633.0,5633.0,13.0,14.0,17.0,19.0,25.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
66,client,8,520000,30.0,30.0,30.0,30.0,30.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,4695.0,4695.0,4707.0,4719.0,4719.0,13.0,14.0,17.0,21.0,27.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
67,client,8,600000,26.0,26.0,26.0,26.0,26.0,1214018.0,1214018.0,1214019.0,1214019.0,1214019.0,4086.0,4086.0,4108.0,4108.0,4108.0,13.0,14.0,17.0,21.0,28.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
68,client,8,10000,1600.0,1600.0,1600.0,1600.0,1600.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,243326.0,244415.0,244415.0,244415.0,244415.0,12.0,12.0,13.0,16.0,20.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
69,client,8,20000,800.0,800.0,800.0,800.0,800.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,121724.0,121724.0,122298.0,122298.0,122298.0,12.0,12.0,13.0,16.0,17.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
70,client,8,40000,400.0,400.0,400.0,400.0,400.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,60948.0,61218.0,61218.0,61218.0,61218.0,12.0,12.0,12.0,15.0,17.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
71,client,8,60000,266.0,266.0,266.0,266.0,266.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,40570.0,40763.0,40763.0,40763.0,40763.0,12.0,12.0,12.0,16.0,19.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
72,client,8,80000,200.0,200.0,200.0,200.0,200.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,30537.0,30537.0,30537.0,30537.0,30672.0,12.0,13.0,15.0,16.0,19.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
73,client,8,100000,160.0,160.0,160.0,160.0,160.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,24458.0,24458.0,24458.0,24458.0,24575.0,11.0,12.0,15.0,16.0,19.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
74,client,8,120000,133.0,133.0,133.0,133.0,133.0,1213994.0,1213994.0,1214011.0,1214011.0,1214011.0,20365.0,20365.0,20365.0,20443.0,20443.0,11.0,12.0,15.0,16.0,19.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
75,client,8,140000,114.0,114.0,114.0,114.0,114.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,17483.0,17552.0,17552.0,17552.0,17552.0,8.0,12.0,12.0,16.0,19.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
76,client,8,160000,100.0,100.0,100.0,100.0,100.0,1213965.0,1213965.0,1213978.0,1213978.0,1213978.0,15340.0,15340.0,15410.0,15410.0,15410.0,11.0,12.0,12.0,16.0,19.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
77,client,8,180000,88.0,88.0,88.0,88.0,88.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,13522.0,13522.0,13522.0,13522.0,13522.0,11.0,12.0,15.0,16.0,20.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
78,client,8,200000,80.0,80.0,80.0,80.0,80.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,12303.0,12303.0,12303.0,12303.0,12353.0,11.0,12.0,15.0,16.0,20.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
79,client,8,240000,66.0,66.0,66.0,66.0,66.0,1214019.0,1214020.0,1214020.0,1214020.0,1214020.0,10170.0,10170.0,10170.0,10170.0,10219.0,10.0,12.0,15.0,16.0,22.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
80,client,8,280000,57.0,57.0,57.0,57.0,57.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,8808.0,8808.0,8838.0,8838.0,8838.0,11.0,12.0,15.0,16.0,20.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
81,client,8,320000,50.0,50.0,50.0,50.0,50.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,7735.0,7782.0,7782.0,7782.0,7782.0,8.0,12.0,13.0,16.0,21.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
82,client,8,360000,44.0,44.0,44.0,44.0,44.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,6833.0,6882.0,6882.0,6882.0,6882.0,11.0,12.0,14.0,16.0,21.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
83,client,8,400000,40.0,40.0,40.0,40.0,40.0,1214017.0,1214017.0,1214017.0,1214017.0,1214020.0,6237.0,6254.0,6254.0,6254.0,6254.0,11.0,12.0,14.0,16.0,22.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
84,client,8,440000,36.0,36.0,36.0,36.0,36.0,1214012.0,1214012.0,1214012.0,1214012.0,1214012.0,5620.0,5620.0,5620.0,5620.0,5620.0,11.0,12.0,16.0,18.0,24.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
85,client,8,480000,33.0,33.0,33.0,33.0,33.0,1214016.0,1214016.0,1214016.0,1214016.0,1214016.0,5152.0,5152.0,5152.0,5152.0,5152.0,11.0,13.0,15.0,19.0,24.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
86,client,8,520000,30.0,30.0,30.0,30.0,30.0,1214013.0,1214013.0,1214016.0,1214016.0,1214016.0,4704.0,4704.0,4727.0,4727.0,4727.0,11.0,12.0,15.0,17.0,23.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
87,client,8,560000,28.0,28.0,28.0,28.0,28.0,1214011.0,1214011.0,1214011.0,1214012.0,1214012.0,4405.0,4405.0,4427.0,4427.0,4427.0,11.0,13.0,15.0,18.0,24.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
88,client,8,600000,26.0,26.0,26.0,26.0,26.0,1214013.0,1214013.0,1214013.0,1214013.0,1214013.0,4102.0,4102.0,4102.0,4102.0,4107.0,9.0,14.0,16.0,20.0,26.0,kv-mlx5-noconns-0a7efa1,dpdkmulti_nochunnels_conns,workloadb-8,True,0
